coefficients,di_exact,kde,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, 1.421307501660981], [0.0, -0.1779475098320437]]]","[[0.0, 0.0], [0.5614791099377432, 0.01801505662929382]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0030347302402990244], [0.44274561124409995, 0.0020397193231278497]]","[[0.0, 0.007647847654427662], [0.4985490047691738, 0.013474993372506086]]","[[0.0, 0.015497880842602018], [0.5162954859142764, 0.0]]"
"[[[-0.7935972622651861, 0.0], [0.0, 0.0]]]","[[0.4944404501706108, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.45041304288855877, 0.0], [0.0, 0.0]]","[[0.4929881933029126, 0.012973545294745224], [0.0, 0.016189286332697544]]","[[0.48883180627982264, 0.02771131893631018], [0.0, 0.008559391638993514]]"
"[[[0.0, 0.0], [0.0, 0.19519624345732906]]]","[[0.0, 0.0], [0.0, 0.025555641444080172]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.008257934669331696, 0.009890755221401317]]","[[0.016649958834055557, 0.0], [0.031011561583873696, 0.034056881417708365]]","[[0.06334590583954484, 0.008143214072539687], [0.019807743027922587, 0.044836654265257944]]"
"[[[-0.5125687533259691, 0.0], [0.0, 0.0]]]","[[0.17624773663521867, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.15946045521550753, 0.0], [0.0, 0.0]]","[[0.1748211864973487, 0.0], [0.0, 0.0]]","[[0.23422822845434205, 0.005291329933350443], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.5405574824700382]]]","[[0.0, 0.0], [0.0, 0.21002299211666403]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0013362459930517222, 0.18744037940237634]]","[[0.013040214456980339, 0.014655995679969417], [0.029807558600368707, 0.2209816200401314]]","[[0.0, 0.0], [0.009550016635915827, 0.25232345102711734]]"
"[[[0.7830461545598779, 0.0], [1.9534412731698785, 0.0]]]","[[0.5005311367703504, 1.2401792953067983], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.19717885028452836, 0.5585360735925669], [0.0, 0.0]]","[[0.21781318190650267, 0.6647671353017286], [0.0, 0.0]]","[[0.24331957072670196, 0.7579600894560786], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, 0.14463238060369457]]]","[[0.0, 0.0], [0.0, 0.006380055598189237]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.008324576308494099, 0.003925358196316493], [0.010179930704671289, 0.005762883723895035]]","[[0.004307277051762018, 0.0012955427718975337], [0.02448431574265316, 0.0147161615548206]]","[[0.013113159399417514, 0.015303301051181972], [0.010747636534671482, 0.011856473076395322]]"
"[[[0.0, 1.7336119271975632], [0.0, -0.5999123070593361]]]","[[0.0, 0.0], [0.8031218020271907, 0.19493711016161222]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5356766253290287, 0.09678146714931381]]","[[0.0, 0.0], [0.6434067448530489, 0.11379709250320513]]","[[0.0, 0.0], [0.6857421191210333, 0.13841426577100324]]"
"[[[-0.6231944028341633, 0.0], [0.3890526964160055, 0.0]]]","[[0.21352597506128124, 0.08214330621909702], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.16838734312129094, 0.052318843985362865], [0.0, 0.0]]","[[0.19090780715520336, 0.0713137039022914], [0.0, 0.0]]","[[0.18268363251147274, 0.07238111051423182], [0.0, 0.007142093901377177]]"
"[[[0.0, 0.8423979666700315], [0.0, 0.5083670218825698]]]","[[0.0, 0.0], [0.372104148938182, 0.14935093095114743]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.2973226945712072, 0.09634637469849738]]","[[0.0, 0.023794320847161526], [0.34881279061792575, 0.15176407275105602]]","[[0.017402807402209352, 0.04736744848367795], [0.3733138297012163, 0.18973688764569063]]"
"[[[-0.7934326652507228, 0.0], [-1.0816833538473036, 0.0]]]","[[0.5051283387789123, 0.7244567755138112], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.23206670796288495, 0.39494547490285203], [0.0, 0.0]]","[[0.27094592046455035, 0.42789525212063517], [0.0, 0.0]]","[[0.3080654200454955, 0.47871289819323876], [0.0, 0.01793724688836535]]"
"[[[0.0, 0.0], [0.0, -0.32478294382830597]]]","[[0.0, 0.0], [0.0, 0.034232055439359296]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.022273856155280918]]","[[0.0, 0.018232448576968145], [0.019066368657358727, 0.03549906739765091]]","[[0.0, 0.014412894865309736], [0.02778373585619172, 0.05391691263924361]]"
"[[[0.0, 0.0], [0.0, -0.3488632660320454]]]","[[0.0, 0.0], [0.0, 0.0713474240336297]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.004105442428215714, 0.0], [0.0, 0.038572981388045983]]","[[0.019714306793203133, 0.01744190014861923], [0.0, 0.06043855305917123]]","[[0.08479422664000699, 0.07342705152625864], [0.017210068988679408, 0.09464761656480616]]"
"[[[-0.20004585817709386, 0.0], [-2.205824421823233, 0.0]]]","[[0.017681413540232702, 0.9248463015534312], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.6305833568501752], [0.0, 0.0]]","[[0.0, 0.7505904890293581], [0.0, 0.0]]","[[0.023819081800152863, 0.8579692923905494], [0.029560038292604607, 0.0]]"
"[[[0.0, 0.2954466489354751], [0.0, -0.42653843581389733]]]","[[0.0, 0.0], [0.058011309954138265, 0.10829113130808418]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.038288966474428886, 0.08163263910340744]]","[[0.007982332960847906, 0.008567018364392321], [0.05595569223182235, 0.10304059132394516]]","[[0.05196255001174529, 0.0024400093316437814], [0.062049653676681096, 0.09717342706487991]]"
"[[[0.6375526124455072, 0.0], [0.0, 0.0]]]","[[0.29086005845838747, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.27099019760951815, 0.0], [0.0, 0.0]]","[[0.2993571174434206, 0.01167558748896196], [0.003535933147232962, 0.008662451536169635]]","[[0.33579516217625, 0.036290488881388354], [0.019101303658839986, 0.01933574414706299]]"
"[[[0.0, 0.0], [0.0, 0.6194570665114362]]]","[[0.0, 0.0], [0.0, 0.20628365956048544]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.1944993253185159]]","[[0.0, 0.00552513732695367], [0.006065244249842059, 0.23288601140395027]]","[[0.02799603994986812, 0.08977476367200987], [0.0, 0.27784906461470776]]"
"[[[0.873568232128688, 0.0], [0.0, 0.20987591790623414]]]","[[0.7019494658610348, 0.0], [0.0, 0.015172559377770027]]","[[0.0964709081931336, 0.0], [0.0, 0.0]]","[[0.645472905759144, 0.0], [0.0, 0.0]]","[[0.6948297304155486, 0.0], [0.0, 0.0]]","[[0.6779859976981628, 0.0], [0.0, 0.046168018172642614]]"
"[[[-0.16510700286148236, 0.0], [0.0, 0.0]]]","[[0.016287734958791083, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.009535210313846267, 0.0], [0.0, 0.0]]","[[0.02737839877863106, 0.0], [0.012549234417568923, 0.004617014164307503]]"
"[[[0.415439187655343, 0.0], [0.0, 0.0]]]","[[0.09716447789598244, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.07287053542761614, 0.0], [0.0031758988864356882, 0.0]]","[[0.09880860260906332, 0.001387883734085251], [0.00209511584340226, 0.0]]","[[0.09097669379713316, 0.0], [0.0, 0.0]]"
"[[[-0.2651580116391368, 0.0], [-0.1988472786560756, 0.0]]]","[[0.03970653638530126, 0.01672426888493496], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.04152406513984713, 0.0], [0.0028596946539070313, 0.0]]","[[0.06284925129682774, 0.01589191996552038], [0.022161667064570414, 0.00634635668796654]]","[[0.043581816083235865, 0.010569568045032009], [0.04896602734925416, 0.020360708986558985]]"
"[[[0.0, 0.0], [0.0, -0.12473303288135817]]]","[[0.0, 0.0], [0.0, 0.0018938046486310968]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.01259350056914998, 0.005659839321406248], [0.0, 0.02519282719844748]]","[[0.009211715641257633, 0.03214403827668544], [0.03463036593227378, 0.06802396715916095]]"
"[[[-0.28409733544476157, 0.0], [0.0, -0.1472119526693902]]]","[[0.03723833317768596, 0.0], [0.0, 0.010576755824199757]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.045286552922207624, 0.010128278134680098], [0.0, 0.0]]","[[0.056829328166691215, 0.0031403546451215588], [0.0, 0.01756873419394543]]","[[0.07658092005312969, 0.00709492328043451], [0.01971890558900216, 0.0]]"
"[[[0.6369868244080855, 0.0], [0.0, 0.0]]]","[[0.25731372564171273, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.23395973954148705, 0.0], [0.0, 0.0]]","[[0.2816790594340234, 0.01800993970615761], [0.0, 0.0]]","[[0.34238721468490846, 0.06268922795959579], [0.029145557739720784, 0.0]]"
"[[[0.0, -0.629878683831131], [0.0, 0.1693026031204527]]]","[[0.0, 0.0], [0.17962050198952037, 0.017601016349412482]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.1455269540897347, 0.0]]","[[0.0, 0.0], [0.13619083087993328, 0.0]]","[[0.0, 0.017872610902396308], [0.14933681235158391, 0.00809445686574998]]"
"[[[-0.6413025624493432, 0.0], [-0.5726556480453056, 0.0]]]","[[0.2776327207499316, 0.20158408803616149], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.20462765073093844, 0.1418813072337157], [0.0, 0.0]]","[[0.25256790326668094, 0.16593720519457347], [0.012775387775624392, 0.0]]","[[0.28732242166552224, 0.17774123826612437], [0.012083773029837484, 0.0]]"
"[[[0.5195246337893726, 0.0], [0.0, 0.0]]]","[[0.17086367994491544, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.15333944800533794, 0.0], [0.0, 0.018538706077681117]]","[[0.17665207472772654, 0.016508267943252754], [0.009638563415570544, 0.035492654532469796]]","[[0.16836772417776408, 0.039120144485285974], [0.011841661045807868, 0.043973852170611685]]"
"[[[0.0, 0.0], [0.0, 0.14439531967519334]]]","[[0.0, 0.0], [0.0, 0.009291921081024076]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.003323551028395532], [0.0, 0.0036111404870896877]]","[[0.01592333332689344, 0.019363279885119718], [0.0, 0.002864517091916511]]","[[0.02597667887546427, 0.05558195121582915], [0.0, 0.0066866644985404625]]"
